describe,evaluate,introduce,movie_name,serial_number,star
把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,410520人评价,导演:理查德·柯蒂斯RichardCurtis主演:多姆纳尔·格里森DomhnallGl...2013/英国/喜剧爱情奇幻,时空恋旅人,142,8.7
动画片的圣经。,287656人评价,导演:宫崎骏HayaoMiyazaki主演:岛本须美SumiShimamoto/松田洋治Y...1984/日本/动画奇幻冒险,风之谷,143,8.9
不一样的导演，不一样的哈利·波特。,424301人评价,导演:AlfonsoCuarón主演:丹尼尔·雷德克里夫DanielRadcliffe/Emma...2004/英国美国/奇幻冒险,哈利·波特与阿兹卡班的囚徒,144,8.7
揭露人性的丧尸题材力作。,850979人评价,导演:延尚昊Sang-hoYeon主演:孔侑YooGong/郑有美Yu-miJung/马...2016/韩国/动作惊悚灾难,釜山行,145,8.5
真相就在眼前。,374434人评价,导演:詹姆斯·温JamesWan主演:雷·沃纳尔LeighWhannell/加利·艾...2004/美国/悬疑惊悚恐怖,电锯惊魂,146,8.7
被上帝抛弃了的上帝之城。,235829人评价,导演:费尔南多·梅里尔斯FernandoMeirelles/卡迪亚·兰德KátiaLund&nbsp...2002/巴西法国/犯罪剧情,上帝之城,147,8.9
热血沸腾，那个低俗、性感的无耻混蛋又来了。,451327人评价,导演:昆汀·塔伦蒂诺QuentinTarantino主演:杰米·福克斯JamieFoxx/...2012/美国/剧情动作西部冒险,被解救的姜戈,148,8.7
想你时你在闹海。,183025人评价,导演:严定宪DingxianYan/王树忱ShuchenWang主演:梁正晖Zhenghui...1979/中国大陆/冒险动画奇幻,哪吒闹海,149,9.1
中国家庭的喜怒哀乐忍。,247974人评价,导演:李安AngLee主演:赵文瑄WinstonChao/郎雄SihungLung/归亚...1993/中国台湾美国/剧情喜剧爱情同性家庭,喜宴,150,8.9
时代悲歌。,139373人评价,导演:黑泽明AkiraKurosawa主演:三船敏郎ToshirôMifune/志村乔...1954/日本/动作冒险剧情,七武士,151,9.2
英雄泪短，兄弟情长。 ,374345人评价,导演:吴宇森JohnWoo主演:周润发Yun-FatChow/狄龙LungTi/张国...1986/中国香港/剧情动作犯罪,英雄本色,152,8.7
爱并不需要智商 。,225737人评价,导演:杰茜·尼尔森JessieNelson主演:SeanPenn/DakotaFanning/Mi...2001/美国/剧情家庭,我是山姆,153,8.9
像吃了苏打饼一样干脆的电影。,318414人评价,导演:保罗·格林格拉斯PaulGreengrass主演:马特·达蒙MattDamon/...2007/美国德国/动作悬疑惊悚,谍影重重3,154,8.8
岁月流逝，来日可追。,469563人评价,导演:罗启锐AlexLaw主演:吴君如SandraNg/任达华SimonYam/钟绍...2010/中国香港中国大陆/剧情家庭,岁月神偷,155,8.7
写给影迷，动漫迷和游戏迷的一封情书。,1046983人评价,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:泰伊·谢里丹TyeSheri...2018/美国/动作科幻冒险,头号玩家,156,8.7
香港浪漫主义警匪动作片的巅峰之作。,300962人评价,导演:吴宇森JohnWoo主演:周润发Yun-FatChow/张国荣LeslieCheung...1991/中国香港/剧情喜剧动作犯罪,纵横四海,157,8.8
老少皆宜，这就是好莱坞动画的魅力。,638962人评价,导演:科克·德·米科KirkDeMicco/克里斯·桑德斯ChrisSanders主演...2013/美国/喜剧动画冒险,疯狂原始人,158,8.7
惠及一生的美丽。,286875人评价,导演:汉内斯·赫尔姆HannesHolm主演:罗夫·拉斯加德RolfLassgård...2015/瑞典/剧情,一个叫欧维的男人决定去死,159,8.8
怼天怼地，你走后，她与世界为敌。,623622人评价,导演:马丁·麦克唐纳MartinMcDonagh主演:弗兰西斯·麦克多蒙德France...2017/美国英国/剧情犯罪,三块广告牌,160,8.7
荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,364817人评价,导演:忻钰坤YukunXin主演:霍卫民WeiminHuo/王笑天XiaotianWang...2014/中国大陆/剧情犯罪悬疑,心迷宫,161,8.7
魔法的密室之门已打开...,445397人评价,导演:ChrisColumbus主演:丹尼尔·雷德克里夫DanielRadcliffe/艾玛...2002/美国英国德国/奇幻冒险,哈利·波特与密室,162,8.7
Jared Leto的腿比女人还美！,334272人评价,导演:让-马克·瓦雷Jean-MarcVallée主演:马修·麦康纳MatthewMcCon...2013/美国/剧情传记同性,达拉斯买家俱乐部,163,8.8
当这个世界闭上双眼，他却敞开了怀抱。,220668人评价,导演:特瑞·乔治TerryGeorge主演:唐·钱德尔DonCheadle/苏菲·奥...2004/英国南非意大利/剧情传记历史战争,卢旺达饭店,164,8.9
穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,1027542人评价,导演:新海诚MakotoShinkai主演:神木隆之介RyûnosukeKamiki/上...2016/日本/剧情爱情动画,你的名字。,165,8.4
偷情本没有这样美。,423659人评价,导演:王家卫KarWaiWong主演:梁朝伟TonyLeungChiuWai/张曼玉Ma...2000/中国香港/剧情爱情,花样年华,166,8.7
幸福是生生不息，却难以触及的远。 ,329019人评价,导演:高畑勋IsaoTakahata主演:辰己努/白石绫乃/志乃原良子1988/日本/动画剧情战争,萤火虫之墓,167,8.7
一个针管引发的血案。,456133人评价,导演:克里斯托弗·诺兰ChristopherNolan主演:盖·皮尔斯GuyPearce/...2000/美国/犯罪剧情悬疑惊悚,记忆碎片,168,8.6
始于荒诞，止于更荒诞。,311055人评价,导演:达米安·斯兹弗隆DamiánSzifron主演:达里奥·葛兰帝内提Darío...2014/阿根廷西班牙/剧情喜剧犯罪,荒蛮故事,169,8.8
上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,585228人评价,导演:丹尼·鲍尔DannyBoyle/洛芙琳·坦丹LoveleenTandan主演:戴夫...2008/英国/剧情爱情,贫民窟的百万富翁,170,8.6
电影诗。,448356人评价,导演:王家卫KarWaiWong主演:张国荣LeslieCheung/林青霞Brigitte...1994/中国香港中国台湾/剧情动作爱情武侠古装,东邪西毒,171,8.6
爱，是个动词。,537221人评价,导演:理查德·柯蒂斯RichardCurtis主演:休·格兰特HughGrant/柯林...2003/英国美国法国/喜剧剧情爱情,真爱至上,172,8.6
这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,413986人评价,导演:达米恩·查泽雷DamienChazelle主演:迈尔斯·特勒MilesTeller/...2014/美国/剧情音乐,爆裂鼓手,173,8.7
不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,311317人评价,导演:AndyWachowski/LarryWachowski主演:基努·里维斯KeanuReeves...2003/美国澳大利亚/动作科幻,黑客帝国3：矩阵革命,174,8.8
他给机器起名“克里斯托弗”，因为这是他初恋的名字。,449349人评价,导演:莫滕·泰杜姆MortenTyldum主演:本尼迪克特·康伯巴奇BenedictC...2014/英国美国/剧情传记战争同性,模仿游戏,175,8.7
养狗三日，便会对你终其一生。,137715人评价,导演:SeijirôKôyama主演:山本圭KeiYamamoto/井川比佐志Hisa...1987/日本/剧情,忠犬八公物语,176,9.2
黑暗之美。,647184人评价,导演:达伦·阿罗诺夫斯基DarrenAronofsky主演:娜塔莉·波特曼Natalie...2010/美国/剧情惊悚,黑天鹅,177,8.6
愿我们都不用长大，每一座城堡都能永远存在。,432469人评价,导演:彼特·道格特PeteDocter/罗纳尔多·德尔·卡门RonaldoDelCarmen&nb...2015/美国/喜剧动画冒险,头脑特工队,178,8.7
要做就做得狠一点，这样才能活下去。,248508人评价,导演:朴勋政Hoon-jungPark主演:李政宰Jung-JaeLee/崔岷植Min-sik...2013/韩国/剧情犯罪,新世界,179,8.8
好的剧本是，就算你猜到了结局也猜不到全部。,199065人评价,导演:今敏SatoshiKon主演:岩男润子JunkoIwao/松本梨香RicaMatsu...1997/日本/动画奇幻惊悚,未麻的部屋,180,9.0
感情不分食草或者食肉。,255275人评价,导演:藤森雅也MasayaFujimori主演:山口胜平KappeiYamaguchi/爱河...2010/日本/剧情动画儿童,你看起来好像很好吃,181,8.9
是枝裕和的家庭习作。,296508人评价,导演:是枝裕和HirokazuKoreeda主演:绫濑遥HarukaAyase/长泽雅美M...2015/日本/剧情家庭,海街日记,182,8.8
迪士尼和皮克斯拿错剧本的产物。,395514人评价,导演:瑞奇·莫尔RichMoore主演:约翰·C·赖利JohnC.Reilly/萨拉...2012/美国/喜剧动画奇幻冒险,无敌破坏王,183,8.7
生活在自己的世界里，也可以让周围的人显得可笑和渺小。,316955人评价,导演:巴瑞·莱文森BarryLevinson主演:达斯汀·霍夫曼DustinHoffman...1988/美国/剧情,雨人,184,8.7
松鼠才是角儿。,472201人评价,导演:卡洛斯·沙尔丹哈CarlosSaldanha/克里斯·韦奇ChrisWedge主演...2002/美国/喜剧动画冒险,冰川时代,185,8.6
爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,492080人评价,导演:尼克·卡索维茨NickCassavetes主演:瑞恩·高斯林RyanGosling/...2004/美国/剧情爱情,恋恋笔记本,186,8.5
故事的反转与反转，分裂电影的始祖。,176178人评价,导演:阿尔弗雷德·希区柯克AlfredHitchcock主演:安东尼·博金斯Antho...1960/美国/悬疑惊悚恐怖,惊魂记,187,9.0
有一些东西不应该被遗忘。,220985人评价,导演:郭柯KeGuo主演:2015/中国大陆/纪录片,二十二,188,8.7
不要企图在重复中寻找已经失去的爱。,588071人评价,导演:克里斯托弗·史密斯ChristopherSmith主演:梅利莎·乔治Melissa...2009/英国澳大利亚/剧情悬疑惊悚,恐怖游轮,189,8.5
我们都有权利不与自己的过去和解。,363778人评价,导演:肯尼斯·罗纳根KennethLonergan主演:卡西·阿弗莱克CaseyAffle...2016/美国/剧情家庭,海边的曼彻斯特,190,8.6
世界不完美，爱会有奇迹。,431152人评价,导演:斯蒂芬·卓博斯基StephenChbosky主演:雅各布·特伦布莱JacobTr...2017/美国中国香港/剧情儿童家庭,奇迹男孩,191,8.6
我们组成了家。,608995人评价,导演:是枝裕和HirokazuKoreeda主演:中川雅也LilyFranky/安藤樱Sa...2018/日本/剧情犯罪家庭,小偷家族,192,8.7
被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,297286人评价,导演:伦尼·阿伯拉罕森LennyAbrahamson主演:布丽·拉尔森BrieLarson...2015/爱尔兰加拿大英国美国/剧情家庭,房间,193,8.8
天使暂时离开。,210049人评价,导演:FrankDarabont主演:汤姆·汉克斯TomHanks/大卫·摩斯DavidM...1999/美国/犯罪剧情奇幻悬疑,绿里奇迹,194,8.8
宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,346525人评价,导演:宫崎骏HayaoMiyazaki主演:高山南MinamiTakayama/佐久间玲Re...1989/日本/动画奇幻冒险,魔女宅急便,195,8.6
永远看不腻的喜剧。,175957人评价,导演:杰拉尔·乌里GérardOury主演:路易·德·菲耐斯LouisdeFunès...1966/法国英国/喜剧战争,虎口脱险,196,8.9
骨灰级歌舞片。,153796人评价,导演:斯坦利·多南StanleyDonen/吉恩·凯利GeneKelly主演:吉恩·...1952/美国/喜剧歌舞爱情,雨中曲,197,9.0
中国版《两杆大烟枪》。,594469人评价,导演:宁浩HaoNing主演:郭涛TaoGuo/刘桦HuaLiu/连晋TeddyLin2006/中国大陆中国香港/喜剧犯罪,疯狂的石头,198,8.5
所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,243026人评价,导演:理查德·林克莱特RichardLinklater主演:伊桑·霍克EthanHawke...2013/美国希腊/剧情爱情,爱在午夜降临前,199,8.8
对爱的执着，可以超越一切。,326701人评价,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:海利·乔·奥斯蒙Haley...2001/美国/剧情科幻,人工智能,200,8.6
人生的N种可能性。,226822人评价,导演:黑泽明AkiraKurosawa主演:三船敏郎ToshirôMifune/京町子...1950/日本/剧情犯罪悬疑,罗生门,201,8.8
少见的超越首部的续集，动作片中的经典。,261558人评价,导演:詹姆斯·卡梅隆JamesCameron主演:阿诺·施瓦辛格ArnoldSchwarz...1991/美国法国/动作科幻,终结者2：审判日,202,8.7
黑小鸭速效美白记。,783619人评价,导演:普特鹏·普罗萨卡·那·萨克那卡林PuttipongPromsakaNaSakolnakorn/华森·波克彭...2010/泰国/剧情喜剧爱情,初恋这件小事,203,8.4
现代科幻电影的开山之作，最伟大导演的最伟大影片。,210547人评价,导演:斯坦利·库布里克StanleyKubrick主演:凯尔·杜拉KeirDullea/...1968/英国美国/科幻惊悚冒险,2001太空漫游,204,8.8
坚硬的信仰。,217394人评价,导演:陆川ChuanLu主演:多布杰Duobujie/张磊LeiZhang/亓亮QiL...2004/中国大陆中国香港/剧情犯罪,可可西里,205,8.8
中国式内在的美国电影。,206846人评价,导演:茂文·勒鲁瓦MervynLeRoy主演:费雯·丽VivienLeigh/罗伯特·...1940/美国/剧情爱情战争,魂断蓝桥,206,8.8
大海啊，不全是水。,132568人评价,导演:雅克·贝汉JacquesPerrin/雅克·克鲁奥德JacquesCluzaud主演:...2009/法国瑞士西班牙美国阿联酋/纪录片,海洋,207,9.1
永远的小人物，伟大的卓别林。,94302人评价,导演:CharlesChaplin主演:查理·卓别林CharlesChaplin/弗吉尼亚·...1931/美国/喜剧剧情爱情,城市之光,208,9.3
传奇，不是每个人都可以拥有。,220560人评价,导演:爱德华·兹威克EdwardZwick主演:布拉德·皮特BradPitt/安东...1994/美国/剧情爱情战争西部,燃情岁月,209,8.8
弱者送给弱者的一刀。,191640人评价,导演:杨德昌EdwardYang主演:张震ChenChang/杨静怡LisaYang/张...1991/中国台湾/剧情犯罪,牯岭街少年杀人事件,210,8.8
假戏真情，爱欲深海,505698人评价,导演:李安AngLee主演:梁朝伟TonyLeungChiuWai/汤唯WeiTang/...2007/中国台湾中国大陆美国中国香港/剧情爱情情色,色，戒,211,8.5
爱上未来的你。 ,303497人评价,导演:细田守MamoruHosoda主演:仲里依纱RiisaNaka/石田卓也Takuya...2006/日本/剧情爱情科幻动画,穿越时空的少女,212,8.6
嬉笑怒骂，调风动月。,329018人评价,导演:李惠民RaymondLee主演:张曼玉MaggieCheung/林青霞Brigitte...1992/中国香港中国大陆/动作爱情武侠古装,新龙门客栈,213,8.6
人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,382228人评价,导演:徐克HarkTsui主演:张曼玉MaggieCheung/王祖贤JoeyWang/...1993/中国香港中国大陆/剧情爱情奇幻古装,青蛇,214,8.5
昆汀同学越来越变态了，比北野武还杜琪峰。,362306人评价,导演:QuentinTarantino主演:布拉德·皮特BradPitt/梅拉尼·罗兰M...2009/德国美国/剧情犯罪,无耻混蛋,215,8.6
邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,622035人评价,导演:邓肯·琼斯DuncanJones主演:杰克·吉伦哈尔JakeGyllenhaal/...2011/美国加拿大/科幻悬疑惊悚,源代码,216,8.5
来啊，互相伤害啊！,414579人评价,导演:保罗·格诺维瑟PaoloGenovese主演:马可·贾利尼MarcoGiallini...2016/意大利/剧情喜剧,完美陌生人,217,8.5
用剩余不多的时间，去燃烧整个生命。,280040人评价,导演:罗伯·莱纳RobReiner主演:杰克·尼科尔森JackNicholson/摩根...2007/美国/冒险喜剧剧情,遗愿清单,218,8.6
王家卫是一种风格，张国荣是一个代表。,371138人评价,导演:王家卫KarWaiWong主演:张国荣LeslieCheung/张曼玉MaggieC...1990/中国香港/犯罪剧情爱情,阿飞正传,219,8.5
,378819人评价,导演:MikeNewell主演:DanielRadcliffe/EmmaWatson/RupertGrint2005/英国美国/奇幻冒险,哈利·波特与火焰杯,220,8.5
,410691人评价,导演:王晶JingWong主演:周星驰StephenChow/吴孟达ManTatNg/...1994/中国香港/剧情喜剧古装,九品芝麻官,221,8.5
人们可以登上月球，却永远无法探索人们内心的宇宙。,287826人评价,导演:黄信尧Hsin-yaoHuang主演:庄益增YizengZhuang/陈竹昇Chu-sh...2017/中国台湾/剧情喜剧,大佛普拉斯,222,8.7
每个美丽事物背后都是滴血的现实。,265106人评价,导演:爱德华·兹威克EdwardZwick主演:莱昂纳多·迪卡普里奥Leonardo...2006/美国德国/剧情惊悚冒险,血钻,223,8.7
谁说王家卫镜头很晃？,268133人评价,导演:保罗·格林格拉斯PaulGreengrass主演:马特·达蒙MattDamon/...2004/美国德国/动作悬疑惊悚,谍影重重2,224,8.7
一个单凭体香达到高潮的男人。,431263人评价,导演:汤姆·提克威TomTykwer主演:本·卫肖BenWhishaw/艾伦·瑞克...2006/德国法国西班牙美国/剧情犯罪奇幻,香水,225,8.5
天使保护事件始末。,155697人评价,导演:阿米尔·汗AamirKhan主演:达席尔·萨法瑞DarsheelSafary/阿...2007/印度/剧情儿童家庭,地球上的星星,226,8.9
“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,381931人评价,导演:乔治·米勒GeorgeMiller主演:汤姆·哈迪TomHardy/查理兹·塞...2015/澳大利亚美国/动作科幻冒险,疯狂的麦克斯4：狂暴之路,227,8.6
做一颗让别人需要你的棋子。,267826人评价,导演:安德鲁·尼科尔AndrewNiccol主演:尼古拉斯·凯奇NicolasCage/...2005/美国法国/剧情犯罪,战争之王,228,8.6
日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,190549人评价,导演:是枝裕和HirokazuKoreeda主演:阿部宽HiroshiAbe/夏川结衣Yu...2008/日本/剧情家庭,步履不停,229,8.8
哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,320345人评价,导演:道格·里曼DougLiman主演:马特·达蒙MattDamon/弗兰卡·波坦...2002/美国德国捷克/动作悬疑惊悚,谍影重重,230,8.6
小成本大魅力。,377436人评价,导演:詹姆斯·沃德·布柯特JamesWardByrkit主演:艾米丽·芭尔多尼Em...2013/美国英国/科幻悬疑惊悚,彗星来的那一夜,231,8.5
不可猜的青春迷笛。 ,344700人评价,导演:丹尼·博伊尔DannyBoyle主演:伊万·麦克格雷格EwanMcGregor/...1996/英国/剧情犯罪,猜火车,232,8.5
当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,376541人评价,导演:史蒂芬·戴德利StephenDaldry主演:凯特·温丝莱特KateWinslet...2008/美国德国/剧情爱情,朗读者,233,8.6
,426491人评价,导演:布莱恩·辛格BryanSinger主演:拉米·马雷克RamiMalek/本·哈...2018/英国美国/剧情传记同性音乐,波西米亚狂想曲,234,8.7
世界离独裁只有五天。,209048人评价,导演:丹尼斯·甘塞尔DennisGansel主演:尤尔根·沃格尔JürgenVogel...2008/德国/剧情惊悚,浪潮,235,8.7
宝莱坞的萝莉与大叔。,370543人评价,导演:卡比尔·汗KabirKhan主演:萨尔曼·汗SalmanKhan/哈莎莉·马...2015/印度/剧情喜剧动作,小萝莉的猴神大叔,236,8.4
爱我就给我看你的播放列表。,315838人评价,导演:约翰·卡尼JohnCarney主演:凯拉·奈特莉KeiraKnightley/马克...2013/美国/喜剧爱情音乐,再次出发之纽约遇见你,237,8.6
东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,95330人评价,导演:小津安二郎YasujirôOzu主演:笠智众ChishûRyû/原节...1953/日本/剧情家庭,东京物语,238,9.2
过去的如果就让它过去了，未来只会越来越糟！,686951人评价,导演:周申ShenZhou/刘露LuLiu主演:任素汐SuxiRen/大力DaLi...2016/中国大陆/剧情喜剧,驴得水,239,8.3
新闻人的理性求真。,214965人评价,导演:托马斯·麦卡锡ThomasMcCarthy主演:马克·鲁弗洛MarkRuffalo/...2015/美国/剧情传记,聚焦,240,8.8
诺兰的牛逼来源于内心散发出的恐惧。,136734人评价,导演:克里斯托弗·诺兰ChristopherNolan主演:杰里米·西奥伯德Jeremy...1998/英国/犯罪悬疑惊悚,追随,241,8.9
一部能引人思考的科幻励志片。,183103人评价,导演:安德鲁·尼科尔AndrewNiccol主演:伊桑·霍克EthanHawke/乌玛...1997/美国/剧情科幻惊悚,千钧一发,242,8.8
你要相信，这世上真的有爱存在，不管在什么年纪 ,115153人评价,导演:秋昌民Chang-minChoo主演:宋在河Jae-hoSong/李顺载Soon-jae...2011/韩国/剧情爱情,我爱你,243,9.0
只有有信仰的人才能说出事实真相。,201585人评价,导演:阿斯哈·法哈蒂AsgharFarhadi主演:佩曼·莫阿迪PeymanMoadi/...2011/伊朗法国/剧情家庭,一次别离,244,8.7
还原真实而残酷的战争。,218132人评价,导演:雷德利·斯科特RidleyScott主演:乔什·哈奈特JoshHartnett/...2001/美国/动作历史战争,黑鹰坠落,245,8.7
一个精彩的世界观正在缓缓建立。,269654人评价,导演:AndyWachowski/LarryWachowski主演:基努·里维斯KeanuReeves...2003/美国澳大利亚/动作科幻,黑客帝国2：重装上阵,246,8.6
,394815人评价,导演:阿尼什·查甘蒂AneeshChaganty主演:约翰·赵JohnCho/米切尔...2018/美国俄罗斯/剧情犯罪悬疑惊悚,网络谜踪,247,8.6
来也匆匆去也匆匆，就这样风雨兼程。,123320人评价,导演:陆庆屹LuQingYi主演:陆运坤YunkunLu/李桂贤GuixianLi/...2017/中国大陆/纪录片家庭,四个春天,248,8.9
我完全康复了。,288286人评价,导演:StanleyKubrick主演:MalcolmMcDowell/PatrickMagee/Michael...1971/英国美国/犯罪剧情科幻,发条橙,249,8.6
生病的E.T.皮肤的颜色就像柿子饼。,267519人评价,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:亨利·托马斯HenryTho...1982/美国/剧情科幻,E.T. 外星人,250,8.6
